id_partido,equipo,minutos,puntos,T2 encestados,T2 totales,% T2,T3 encestados,T3 totales,% T3,TC encestados,TC totales,% TC,TL encestados,TL totales,% TL,rebotes_ofensivos,rebotes_defensivos,rebotes_totales,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion
2341574,LEYMA CORUÑA,200:00,78,17,30,56.7,11,32,34.4,28,62,45.2,11,13,84.6,10,25,35,21,3,12,0,1,1,24,19,84
2341575,CLUB OURENSE BALONCESTO,200:00,77,20,37,54.1,8,21,38.1,28,58,48.3,13,19,68.4,12,24,36,18,0,17,1,1,2,21,15,73
2341575,HLA ALICANTE,200:00,68,16,41,39.0,9,24,37.5,25,65,38.5,9,12,75.0,10,18,28,12,8,11,1,1,3,18,21,66
2341576,GRUPO ALEGA CANTABRIA,200:00,95,18,26,69.2,14,26,53.8,32,52,61.5,17,18,94.4,4,19,23,29,10,16,4,1,2,26,22,120
2341576,HESTIA MENORCA,200:00,77,28,46,60.9,2,12,16.7,30,58,51.7,15,27,55.6,11,15,26,17,6,15,1,4,6,22,24,74
2341577,UEMC REAL VALLADOLID BALONCESTO,200:00,73,15,43,34.9,8,29,27.6,23,72,31.9,19,24,79.2,19,23,42,8,3,8,1,0,5,18,20,67
2341577,MELILLA CIUDAD DEL DEPORTE,189:22,74,16,33,48.5,11,29,37.9,27,62,43.5,9,12,75.0,8,23,31,17,4,7,0,1,1,18,17,80
2341578,HLA ALICANTE,200:00,94,17,39,43.6,10,26,38.5,27,65,41.5,30,37,81.1,10,24,34,11,10,15,0,2,2,24,29,94
2341578,GRUPO URETA TIZONA BURGOS,200:00,89,11,32,34.4,17,34,50.0,28,66,42.4,16,19,84.2,7,20,27,20,9,18,2,0,2,29,24,83
2341579,HESTIA MENORCA,200:00,86,24,42,57.1,9,21,42.9,33,63,52.4,11,12,91.7,11,20,31,14,8,9,1,0,1,30,19,89
2341579,CACERES PATRIMONIO DE LA HUMANIDAD,200:00,67,17,36,47.2,5,15,33.3,22,51,43.1,18,27,66.7,9,16,25,12,4,13,0,1,0,19,30,68
2341580,LONGEVIDA SAN PABLO BURGOS,200:00,87,27,46,58.7,7,28,25.0,34,74,45.9,12,13,92.3,12,18,30,12,10,9,0,0,3,18,16,87
2341580,MOVISTAR ESTUDIANTES,200:00,91,19,30,63.3,15,30,50.0,34,60,56.7,8,14,57.1,9,21,30,19,3,14,0,0,3,16,18,99
2341581,LEYMA CORUÑA,200:00,106,23,37,62.2,11,28,39.3,34,65,52.3,27,32,84.4,9,28,37,25,4,3,1,0,2,20,22,136
2341581,CLUB OURENSE BALONCESTO,200:00,77,17,37,45.9,10,28,35.7,27,65,41.5,13,19,68.4,8,20,28,21,2,10,0,1,0,22,20,72
2341582,GUUK GIPUZKOA BASKET,200:00,76,18,32,56.3,8,21,38.1,26,53,49.1,16,20,80.0,13,28,41,18,7,20,0,1,2,15,22,98
2341582,GRUPO ALEGA CANTABRIA,200:00,67,18,38,47.4,8,23,34.8,26,61,42.6,7,9,77.8,4,12,16,13,12,12,1,0,1,22,15,53
2341583,ICG FORÇA LLEIDA,200:00,79,21,45,46.7,6,22,27.3,27,67,40.3,19,23,82.6,14,29,43,13,10,12,2,2,3,19,23,95
2341583,RIOVERDE CLAVIJO,200:00,72,13,32,40.6,12,30,40.0,25,62,40.3,10,15,66.7,9,28,37,15,9,17,2,2,0,23,19,72
2341584,BALONCESTO FUENLABRADA,200:00,81,19,33,57.6,9,26,34.6,28,59,47.5,16,28,57.1,8,20,28,28,8,9,2,1,1,23,25,97
2341584,REAL BETIS BALONCESTO,200:00,71,15,33,45.5,9,24,37.5,24,57,42.1,14,23,60.9,7,22,29,15,5,14,1,2,1,26,23,62
2341585,ALIMERKA OVIEDO BALONCESTO,200:00,83,16,31,51.6,14,30,46.7,30,61,49.2,9,11,81.8,9,15,24,16,8,12,4,1,0,18,19,91
2341585,UEMC REAL VALLADOLID BALONCESTO,200:00,66,15,40,37.5,9,22,40.9,24,62,38.7,9,14,64.3,12,16,28,11,7,15,1,4,3,21,18,52
2341586,MELILLA CIUDAD DEL DEPORTE,200:00,76,17,34,50.0,11,32,34.4,28,66,42.4,9,15,60.0,7,27,34,20,10,8,1,0,0,19,17,87
2341586,AMICS CASTELLÓ,200:00,65,15,35,42.9,7,20,35.0,22,55,40.0,14,20,70.0,6,33,39,11,4,15,0,1,0,17,19,67
2341587,HESTIA MENORCA,200:00,67,20,34,58.8,5,21,23.8,25,55,45.5,12,16,75.0,5,17,22,14,9,11,4,1,2,20,18,69
2341587,ICG FORÇA LLEIDA,200:00,70,26,41,63.4,2,15,13.3,28,56,50.0,12,15,80.0,9,22,31,13,7,13,1,4,1,18,20,80
2341588,GRUPO URETA TIZONA BURGOS,200:00,110,26,38,68.4,13,25,52.0,39,63,61.9,19,22,86.4,2,21,23,17,9,6,0,2,2,22,23,127
2341588,LONGEVIDA SAN PABLO BURGOS,200:00,96,20,32,62.5,14,34,41.2,34,66,51.5,14,19,73.7,7,17,24,18,2,10,2,0,2,24,22,93
2341589,CACERES PATRIMONIO DE LA HUMANIDAD,200:00,86,23,43,53.5,8,17,47.1,31,60,51.7,16,25,64.0,14,27,41,9,3,12,3,1,2,20,22,94
2341589,ALIMERKA OVIEDO BALONCESTO,200:00,78,16,44,36.4,11,31,35.5,27,75,36.0,13,15,86.7,15,14,29,12,7,6,1,3,0,22,20,69
2341590,AMICS CASTELLÓ,200:00,74,17,43,39.5,8,20,40.0,25,63,39.7,16,23,69.6,7,27,34,16,2,14,2,1,0,21,25,73
2341590,LEYMA CORUÑA,200:00,83,26,41,63.4,5,29,17.2,31,70,44.3,16,22,72.7,10,28,38,13,3,10,1,2,3,25,21,79
2341591,MOVISTAR ESTUDIANTES,200:00,97,18,29,62.1,11,25,44.0,29,54,53.7,28,34,82.4,7,24,31,15,9,10,0,0,1,21,22,112
2341591,CLUB OURENSE BALONCESTO,200:00,56,19,32,59.4,3,24,12.5,22,56,39.3,9,19,47.4,6,21,27,8,7,13,0,0,1,22,21,40
2341592,GRUPO ALEGA CANTABRIA,200:00,71,12,32,37.5,12,28,42.9,24,60,40.0,11,19,57.9,13,17,30,11,9,19,1,2,1,29,23,53
2341592,RIOVERDE CLAVIJO,200:00,75,21,34,61.8,4,18,22.2,25,52,48.1,21,38,55.3,14,24,38,7,7,16,2,1,4,23,28,74
2341593,REAL BETIS BALONCESTO,200:00,97,22,36,61.1,12,26,46.2,34,62,54.8,17,25,68.0,9,23,32,14,4,9,0,0,1,23,25,104
2341593,HLA ALICANTE,200:00,78,12,25,48.0,11,32,34.4,23,57,40.4,21,27,77.8,10,21,31,12,4,12,0,0,5,25,23,71
2341594,UEMC REAL VALLADOLID BALONCESTO,200:00,87,15,32,46.9,13,29,44.8,28,61,45.9,18,30,60.0,10,25,35,12,4,14,1,1,2,27,26,79
2341594,BALONCESTO FUENLABRADA,200:00,72,12,31,38.7,11,28,39.3,23,59,39.0,15,22,68.2,9,22,31,7,6,15,1,1,1,26,27,60
